supersector_code,supersector_name,year,quarter_label,quarter,event_time,post,employment,avg_hourly_earnings,log_emp,log_wage,log_wbill,n_months,preliminary,aiie_score,aiie_zscore,n_naics
31,Durable goods,2022,Q3,3,-1,0,7957.666666666667,32.6,8.981891103538441,3.484312288372662,12.466203391911105,3,0,-0.13620588235294115,-0.2661683208611494,34
31,Durable goods,2022,Q4,4,0,1,8015.0,32.953333333333326,8.989070065043654,3.495092419210703,12.484162484254355,3,0,-0.13620588235294115,-0.2661683208611494,34
31,Durable goods,2023,Q1,1,1,1,8032.0,33.20666666666667,8.99118884193151,3.502750658977028,12.49393950090854,3,0,-0.13620588235294115,-0.2661683208611494,34
31,Durable goods,2023,Q2,2,2,1,8021.333333333333,33.71,8.989859938081457,3.5177945292459696,12.507654467327423,3,0,-0.13620588235294115,-0.2661683208611494,34
31,Durable goods,2023,Q3,3,3,1,8027.666666666667,34.19,8.990649187712224,3.5319332036512097,12.522582391363434,3,0,-0.13620588235294115,-0.2661683208611494,34
31,Durable goods,2023,Q4,4,4,1,8012.0,34.74333333333333,8.988695696785708,3.5479877070831214,12.53668340386883,3,0,-0.13620588235294115,-0.2661683208611494,34
31,Durable goods,2024,Q1,1,5,1,8006.666666666667,35.31666666666667,8.988029806965866,3.5643549960461987,12.552384803012064,3,0,-0.13620588235294115,-0.2661683208611494,34
31,Durable goods,2024,Q2,2,6,1,7979.0,35.75666666666667,8.984568369308281,3.576736731941228,12.56130510124951,3,0,-0.13620588235294115,-0.2661683208611494,34
31,Durable goods,2024,Q3,3,7,1,7937.0,36.21666666666667,8.979290649090876,3.589519418034329,12.568810067125204,3,0,-0.13620588235294115,-0.2661683208611494,34
31,Durable goods,2024,Q4,4,8,1,7880.0,36.56666666666667,8.972083182851925,3.599137078613075,12.571220261465,3,0,-0.13620588235294115,-0.2661683208611494,34
31,Durable goods,2025,Q1,1,9,1,7857.0,37.10666666666666,8.969160133175821,3.61379664798958,12.582956781165402,3,0,-0.13620588235294115,-0.2661683208611494,34
31,Durable goods,2025,Q2,2,10,1,7843.666666666667,37.42666666666667,8.96746169108777,3.622383462825572,12.589845153913345,3,0,-0.13620588235294115,-0.2661683208611494,34
31,Durable goods,2025,Q3,3,11,1,7822.333333333333,37.82666666666666,8.964738169254485,3.6330143212725408,12.597752490527029,3,0,-0.13620588235294115,-0.2661683208611494,34
31,Durable goods,2025,Q4,4,12,1,7801.333333333333,38.13333333333333,8.962049938240018,3.641088790277588,12.603138728517605,3,0,-0.13620588235294115,-0.2661683208611494,34
31,Durable goods,2026,Q1,1,13,1,7812.666666666667,38.60666666666666,8.963501627150437,3.653424973129534,12.616926600279973,3,1,-0.13620588235294115,-0.2661683208611494,34
31,Durable goods,2026,Q2,2,14,1,7826.0,38.98,8.965206802770357,3.663048694079415,12.628255496849771,1,1,-0.13620588235294115,-0.2661683208611494,34
32,Nondurable goods,2017,Q1,1,-23,0,4678.333333333333,24.276666666666667,8.450697200127873,3.189515669561714,11.640212869689588,3,0,-0.8223428571428572,-1.1735201913877908,35
32,Nondurable goods,2017,Q2,2,-22,0,4693.333333333333,24.40333333333333,8.453898341043924,3.194719734990441,11.648618076034364,3,0,-0.8223428571428572,-1.1735201913877908,35
32,Nondurable goods,2017,Q3,3,-21,0,4710.0,24.493333333333336,8.457443187010464,3.198400971678815,11.65584415868928,3,0,-0.8223428571428572,-1.1735201913877908,35
32,Nondurable goods,2017,Q4,4,-20,0,4713.333333333333,24.58333333333333,8.458150650782454,3.2020687065518194,11.660219357334274,3,0,-0.8223428571428572,-1.1735201913877908,35
32,Nondurable goods,2018,Q1,1,-19,0,4723.0,24.666666666666668,8.460199469896118,3.20545280453606,11.665652274432178,3,0,-0.8223428571428572,-1.1735201913877908,35
32,Nondurable goods,2018,Q2,2,-18,0,4736.0,24.69333333333333,8.462948176563842,3.2065333016698143,11.669481478233656,3,0,-0.8223428571428572,-1.1735201913877908,35
32,Nondurable goods,2018,Q3,3,-17,0,4751.666666666667,24.653333333333336,8.466250712678663,3.204912117850814,11.671162830529475,3,0,-0.8223428571428572,-1.1735201913877908,35
32,Nondurable goods,2018,Q4,4,-16,0,4758.333333333333,24.766666666666666,8.467652745856102,3.209498663055604,11.677151408911705,3,0,-0.8223428571428572,-1.1735201913877908,35
32,Nondurable goods,2019,Q1,1,-15,0,4764.666666666667,24.903333333333336,8.468982859111815,3.2150016633196,11.683984522431414,3,0,-0.8223428571428572,-1.1735201913877908,35
32,Nondurable goods,2019,Q2,2,-14,0,4773.666666666667,25.016666666666666,8.470869981810592,3.2195422694113613,11.690412251221954,3,0,-0.8223428571428572,-1.1735201913877908,35
32,Nondurable goods,2019,Q3,3,-13,0,4784.666666666667,25.263333333333332,8.473171639321908,3.229354069155828,11.702525708477737,3,0,-0.8223428571428572,-1.1735201913877908,35
32,Nondurable goods,2019,Q4,4,-12,0,4790.333333333333,25.506666666666664,8.474355277406136,3.238939855903942,11.71329513331008,3,0,-0.8223428571428572,-1.1735201913877908,35
32,Nondurable goods,2020,Q1,1,-11,0,4772.0,25.86,8.470520783217808,3.2526973733437115,11.72321815656152,3,0,-0.8223428571428572,-1.1735201913877908,35
32,Nondurable goods,2020,Q2,2,-10,0,4441.0,26.64,8.398634855292102,3.2824138456721883,11.68104870096429,3,0,-0.8223428571428572,-1.1735201913877908,35
32,Nondurable goods,2020,Q3,3,-9,0,4553.0,26.48333333333333,8.423541635334782,3.2765156043146155,11.700057239649398,3,0,-0.8223428571428572,-1.1735201913877908,35
32,Nondurable goods,2020,Q4,4,-8,0,4605.0,26.486666666666668,8.434897948689407,3.2766414617183437,11.71153941040775,3,0,-0.8223428571428572,-1.1735201913877908,35
32,Nondurable goods,2021,Q1,1,-7,0,4629.666666666667,26.703333333333333,8.44024015024811,3.284788401558916,11.725028551807023,3,0,-0.8223428571428572,-1.1735201913877908,35
32,Nondurable goods,2021,Q2,2,-6,0,4644.0,27.08333333333333,8.443331342817782,3.298918532541737,11.74224987535952,3,0,-0.8223428571428572,-1.1735201913877908,35
32,Nondurable goods,2021,Q3,3,-5,0,4680.666666666667,27.386666666666667,8.451195828909084,3.310056276952193,11.761252105861278,3,0,-0.8223428571428572,-1.1735201913877908,35
32,Nondurable goods,2021,Q4,4,-4,0,4739.333333333333,27.69333333333333,8.463651757821319,3.321191710339802,11.78484346816112,3,0,-0.8223428571428572,-1.1735201913877908,35
32,Nondurable goods,2022,Q1,1,-3,0,4789.333333333333,27.99,8.474146501873872,3.331847303527362,11.805993805401233,3,0,-0.8223428571428572,-1.1735201913877908,35
32,Nondurable goods,2022,Q2,2,-2,0,4844.666666666667,28.17,8.48563372250847,3.338257581888281,11.823891304396753,3,0,-0.8223428571428572,-1.1735201913877908,35
32,Nondurable goods,2022,Q3,3,-1,0,4869.333333333333,28.396666666666665,8.49071231416664,3.34627176738664,11.83698408155328,3,0,-0.8223428571428572,-1.1735201913877908,35
32,Nondurable goods,2022,Q4,4,0,1,4876.333333333333,28.74,8.492148850309976,3.358289880650879,11.850438730960857,3,0,-0.8223428571428572,-1.1735201913877908,35
32,Nondurable goods,2023,Q1,1,1,1,4864.333333333333,29.19666666666667,8.489684951999635,3.374054547506888,11.863739499506524,3,0,-0.8223428571428572,-1.1735201913877908,35
